period,load_zone,variable_om_cost_total,fuel_cost_total,startup_cost_total,capacity_cost,transmission_capacity_cost,mwh,MtCO2,tCO2_per_mwh,total_costs,costs_per_mwh,var_om_cost_per_mwh,fuel_cost_per_mwh,startup_cost_per_mwh,capacity_cost_per_mwh,tx_capacity_cost_per_mwh,scs_id
2020,Argentina,949979473.4234716,1356392606.4192739,0.0,718415728.7671232,0.0,136540472.225,32.998281457558505,0.2416739954083494,3024787808.6098685,22.153049270442192,6.957493686253227,9.933996743354781,0.0,5.261558840834185,0.0,prm15_wcost_re1_c2p1_t1
2020,Brazil,3324865876.200045,6710007935.830003,0.0,2606094344.3630137,0.0,656823855.825,51.604894581043986,0.0785673268767407,12640968156.393063,19.245598411640277,5.0620358056634,10.21584078641896,0.0,3.9677218195579136,0.0,prm15_wcost_re1_c2p1_t1
2020,Chile,325939104.78579414,944114485.356739,0.0,752655864.8630137,0.0,82922909.175,22.818675539520285,0.2751793897071784,2022709455.005547,24.39264945151446,3.930627953463792,11.38544818011975,0.0,9.076573317930917,0.0,prm15_wcost_re1_c2p1_t1
2020,Paraguay,327500129.60999984,0.0,0.0,3046485.205479452,0.0,22203743.3,0.0,0.0,330546614.8154793,14.886976954713724,14.749771026671878,0.0,0.0,0.13720592804184742,0.0,prm15_wcost_re1_c2p1_t1
2020,Uruguay,35926529.37623148,46783991.23674463,542335.7073856202,154103578.15068492,0.0,13524698.625,0.08360379962399993,0.006181564701889978,237356434.47104663,17.549850170583497,2.6563645055884915,3.4591522172823743,0.04009965193480385,11.394233795777827,0.0,prm15_wcost_re1_c2p1_t1
2025,Argentina,1059542016.4351342,1751847902.2655926,0.0,897040417.4405689,0.0,161775906.45,42.95708853949901,0.2655345253947054,3708430336.1412954,22.923254874714353,6.549442619025636,10.828855425434043,0.0,5.544956830254676,0.0,prm15_wcost_re1_c2p1_t1
2025,Brazil,3448250548.376061,3657509495.441778,0.0,8905606786.341555,0.0,750779774.25,37.318351956625655,0.04970612320224695,16011366830.159393,21.326316157296766,4.592892172435959,4.8716143147243,0.0,11.861809670136509,0.0,prm15_wcost_re1_c2p1_t1
2025,Chile,344204622.85712546,1004848210.7823547,42870.059616907245,1027226172.5977721,0.0,94186385.825,24.30045783100774,0.2580039314403509,2376321876.2968693,25.229993225476537,3.6545050523189606,10.668720346158953,0.00045516195617231335,10.90631266504245,0.0,prm15_wcost_re1_c2p1_t1
2025,Paraguay,327500129.60999995,0.0,0.0,110678644.76154175,0.0,28176675.1,0.0,0.0,438178774.37154174,15.551117114295069,11.623093514323127,0.0,0.0,3.928023599971941,0.0,prm15_wcost_re1_c2p1_t1
2025,Uruguay,40217920.77157167,71374448.36864308,217638.09911764297,154103578.15068492,0.0,16125299.375,0.17638440298799996,0.010938364546673724,265913585.3900173,16.49045882535854,2.4940883165198087,4.426240202355504,0.01349668580138488,9.556633620681843,0.0,prm15_wcost_re1_c2p1_t1
2030,Argentina,1104481817.0843947,1988016030.4471765,0.0,1561101194.289863,0.0,191675397.175,49.26954976036453,0.25704681188364165,4653599041.821434,24.278541275553945,5.762251354961329,10.371785110386984,0.0,8.144504810205635,0.0,prm15_wcost_re1_c2p1_t1
2030,Brazil,3506918066.7178826,3813529251.902429,0.0,13111300800.212753,0.0,858175727.7,36.780381208626636,0.04285879921959792,20431748118.833065,23.808350037575952,4.086480138650375,4.443762657006255,0.0,15.27810724191932,0.0,prm15_wcost_re1_c2p1_t1
